name,ranking,score
勇士,234,8.9
国王的演讲,235,8.3
血钻,236,8.5
叫我第一名,237,8.6
穆赫兰道,238,8.3
海街日记,239,8.6
聚焦,240,8.8
上帝也疯狂,241,8.6
枪火,242,8.6
我爱你,243,9.0
遗愿清单,244,8.5
大卫·戈尔的一生,245,8.6
黑鹰坠落,246,8.5
荒岛余生,247,8.5
蓝色大门,248,8.3
千钧一发,249,8.7
爱·回家,250,9.0
